Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-29,AF,Afghanistan,EMRO,124,1827,0,60
2020-04-30,AF,Afghanistan,EMRO,0,1827,0,60
2020-05-01,AF,Afghanistan,EMRO,344,2171,4,64
2020-05-02,AF,Afghanistan,EMRO,298,2469,8,72
2020-05-03,AF,Afghanistan,EMRO,0,2469,0,72
2020-05-04,AF,Afghanistan,EMRO,0,2469,0,72
2020-05-05,AF,Afghanistan,EMRO,0,2469,0,72
2020-05-06,AF,Afghanistan,EMRO,755,3224,23,95
2020-05-07,AF,Afghanistan,EMRO,168,3392,9,104
2020-05-08,AF,Afghanistan,EMRO,171,3563,1,105
2020-05-09,AF,Afghanistan,EMRO,0,3563,0,105
2020-05-10,AF,Afghanistan,EMRO,839,4402,14,119
2020-05-11,AF,Afghanistan,EMRO,262,4664,1,120
2020-05-12,AF,Afghanistan,EMRO,303,4967,7,127
2020-05-13,AF,Afghanistan,EMRO,0,4967,0,127
2020-05-14,AF,Afghanistan,EMRO,372,5339,9,136
2020-05-15,AF,Afghanistan,EMRO,714,6053,17,153
2020-05-16,AF,Afghanistan,EMRO,349,6402,15,168
2020-05-17,AF,Afghanistan,EMRO,233,6635,1,169
2020-05-18,AF,Afghanistan,EMRO,437,7072,4,173
2020-05-19,AF,Afghanistan,EMRO,583,7655,4,177
2020-05-20,AF,Afghanistan,EMRO,490,8145,10,187
2020-05-21,AF,Afghanistan,EMRO,531,8676,6,193
2020-05-22,AF,Afghanistan,EMRO,540,9216,12,205
2020-05-23,AF,Afghanistan,EMRO,736,9952,10,215
2020-05-24,AF,Afghanistan,EMRO,716,10668,7,222
2020-05-25,AF,Afghanistan,EMRO,512,11180,1,223
2020-05-26,AF,Afghanistan,EMRO,737,11917,1,224
2020-05-27,AF,Afghanistan,EMRO,548,12465,6,230
2020-05-28,AF,Afghanistan,EMRO,637,13102,9,239
2020-05-29,AF,Afghanistan,EMRO,643,13745,11,250
2020-05-30,AF,Afghanistan,EMRO,784,14529,2,252
2020-05-31,AF,Afghanistan,EMRO,651,15180,2,254
2020-06-01,AF,Afghanistan,EMRO,656,15836,15,269
2020-06-02,AF,Afghanistan,EMRO,742,16578,5,274
2020-06-03,AF,Afghanistan,EMRO,775,17353,24,298
2020-06-04,AF,Afghanistan,EMRO,624,17977,5,303
2020-06-05,AF,Afghanistan,EMRO,1078,19055,10,313
2020-06-06,AF,Afghanistan,EMRO,582,19637,18,331
2020-06-07,AF,Afghanistan,EMRO,791,20428,30,361
2020-06-08,AF,Afghanistan,EMRO,575,21003,12,373
2020-06-09,AF,Afghanistan,EMRO,305,21308,7,380
2020-06-10,AF,Afghanistan,EMRO,920,22228,29,409
2020-06-11,AF,Afghanistan,EMRO,748,22976,21,430
2020-06-12,AF,Afghanistan,EMRO,656,23632,20,450
2020-06-13,AF,Afghanistan,EMRO,556,24188,5,455
2020-06-14,AF,Afghanistan,EMRO,664,24852,20,475
2020-06-15,AF,Afghanistan,EMRO,761,25613,5,480
2020-06-16,AF,Afghanistan,EMRO,106,25719,8,488
2020-06-17,AF,Afghanistan,EMRO,1241,26960,20,508
2020-06-18,AF,Afghanistan,EMRO,463,27423,42,550
2020-06-19,AF,Afghanistan,EMRO,541,27964,2,552
2020-06-20,AF,Afghanistan,EMRO,419,28383,0,552
2020-06-21,AF,Afghanistan,EMRO,536,28919,33,585
2020-06-22,AF,Afghanistan,EMRO,310,29229,17,602
2020-06-23,AF,Afghanistan,EMRO,338,29567,20,622
2020-06-24,AF,Afghanistan,EMRO,159,29726,21,643
2020-06-25,AF,Afghanistan,EMRO,535,30261,36,679
2020-06-26,AF,Afghanistan,EMRO,85,30346,5,684
2020-06-27,AF,Afghanistan,EMRO,356,30702,23,707
2020-06-28,AF,Afghanistan,EMRO,351,31053,26,733
2020-06-29,AF,Afghanistan,EMRO,271,31324,4,737
2020-06-30,AF,Afghanistan,EMRO,121,31445,2,739
2020-07-01,AF,Afghanistan,EMRO,403,31848,39,778
2020-07-02,AF,Afghanistan,EMRO,260,32108,33,811
2020-07-03,AF,Afghanistan,EMRO,302,32410,12,823
2020-07-04,AF,Afghanistan,EMRO,348,32758,7,830
2020-07-05,AF,Afghanistan,EMRO,279,33037,38,868
2020-07-06,AF,Afghanistan,EMRO,113,33150,23,891
2020-07-07,AF,Afghanistan,EMRO,320,33470,33,924
2020-07-08,AF,Afghanistan,EMRO,210,33680,16,940
2020-07-09,AF,Afghanistan,EMRO,59,33739,1,941
2020-07-10,AF,Afghanistan,EMRO,541,34280,34,975
2020-07-11,AF,Afghanistan,EMRO,157,34437,4,979
2020-07-12,AF,Afghanistan,EMRO,100,34537,35,1014
2020-07-13,AF,Afghanistan,EMRO,4,34541,2,1016
2020-07-14,AF,Afghanistan,EMRO,285,34826,33,1049
2020-07-15,AF,Afghanistan,EMRO,200,35026,49,1098
2020-07-16,AF,Afghanistan,EMRO,130,35156,19,1117
2020-07-17,AF,Afghanistan,EMRO,159,35315,34,1151
2020-07-18,AF,Afghanistan,EMRO,60,35375,0,1151
2020-07-19,AF,Afghanistan,EMRO,186,35561,34,1185
